index,ground_truth,nominal_pred,nominal_conf,guardian_pred,guardian_conf,disagreement,flagged,reason
0,0,1,1.0,0,0.9643982,1,0,clean
1,0,1,0.9526542,0,0.9346403,1,0,clean
2,0,1,0.85311705,0,0.99105895,1,0,clean
3,1,1,0.9550583,0,0.5,1,0,clean
4,0,1,1.0,0,0.81855476,1,0,clean
5,0,1,0.91724557,0,0.9569427,1,0,clean
6,0,1,1.0,0,0.93409985,1,0,clean
7,0,0,0.9999731,1,0.9609609,1,0,clean
8,0,1,1.0,0,0.93606,1,0,clean
9,0,1,1.0,0,0.9385999,1,0,clean
10,1,0,0.9999377,1,0.97520655,1,0,clean
11,0,1,1.0,0,0.96092504,1,0,clean
12,1,1,0.99999994,0,0.9708338,1,0,clean
13,0,1,1.0,0,0.9263463,1,0,clean
14,0,1,1.0,0,0.9317311,1,0,clean
15,0,1,1.0,0,0.93188256,1,0,clean
16,0,1,1.0,0,0.9260662,1,0,clean
17,0,1,1.0,0,0.91863614,1,0,clean
18,0,1,1.0,0,0.91766155,1,0,clean
19,0,1,0.99999994,0,0.9555625,1,0,clean
20,0,1,1.0,0,0.9639905,1,0,clean
21,0,1,1.0,0,0.93176824,1,0,clean
22,0,1,0.9999995,0,0.99746233,1,0,clean
23,1,0,0.99961007,1,0.9833898,1,0,clean
24,1,0,0.999814,1,0.9821182,1,0,clean
25,1,0,0.9999912,1,0.99999994,1,0,clean
26,0,1,0.99999994,0,0.97420233,1,0,clean
27,0,1,0.99999994,0,0.97168946,1,0,clean
28,1,0,0.99932706,1,0.9886373,1,0,clean
29,0,1,0.99999994,0,0.988104,1,0,clean
30,0,1,0.95512635,0,0.9607709,1,0,clean
31,1,0,0.99999434,1,0.9921248,1,0,clean
32,0,1,1.0,0,0.9448981,1,0,clean
33,0,1,1.0,0,0.9778097,1,0,clean
34,0,1,0.99999994,0,0.9871811,1,0,clean
35,0,1,0.73072916,0,0.9826432,1,0,clean
36,0,1,1.0,0,0.95467794,1,0,clean
37,0,1,1.0,0,0.95193577,1,0,clean
38,0,1,1.0,0,0.9350687,1,0,clean
39,1,0,0.99986535,1,0.9706906,1,0,clean
40,0,1,1.0,0,0.9314003,1,0,clean
41,0,1,1.0,0,0.95558447,1,0,clean
42,0,1,1.0,0,0.9188312,1,0,clean
43,0,1,1.0,0,0.93052155,1,0,clean
44,0,1,0.992188,0,0.9984795,1,0,clean
45,0,1,0.99999964,0,0.9766362,1,0,clean
46,0,1,0.99999994,0,0.9552475,1,0,clean
47,0,1,1.0,0,0.9515827,1,0,clean
48,0,1,1.0,0,0.8262841,1,0,clean
49,0,1,1.0,0,0.92443997,1,0,clean
50,1,0,0.99988586,1,0.9650463,1,0,clean
51,1,1,1.0,0,0.94794947,1,0,clean
52,0,1,0.9999999,0,0.98732567,1,0,clean
53,0,1,1.0,0,0.9552255,1,0,clean
54,0,1,1.0,0,0.9541895,1,0,clean
55,0,1,1.0,0,0.93823254,1,0,clean
56,0,1,0.9999997,0,0.9585025,1,0,clean
57,0,1,1.0,0,0.9360483,1,0,clean
58,1,0,0.999949,1,0.9738672,1,0,clean
59,1,0,0.9999397,1,0.99699,1,0,clean
60,0,1,1.0,0,0.94644433,1,0,clean
61,0,1,1.0,0,0.9854152,1,0,clean
62,1,0,0.9999726,1,0.98786706,1,0,clean
63,0,1,1.0,0,0.92620564,1,0,clean
64,1,0,0.9992596,1,0.98845714,1,0,clean
65,0,1,1.0,0,0.9343664,1,0,clean
66,0,1,1.0,0,0.93807864,1,0,clean
67,1,0,0.9998531,1,0.9703955,1,0,clean
68,0,1,1.0,0,0.9259518,1,0,clean
69,0,1,1.0,0,0.92004365,1,0,clean
70,0,1,1.0,0,0.93261635,1,0,clean
71,0,1,1.0,0,0.94435036,1,0,clean
72,0,1,0.9999999,0,0.8711748,1,0,clean
73,0,1,1.0,0,0.9168908,1,0,clean
74,1,0,0.99966866,1,0.9861277,1,0,clean
75,0,1,1.0,0,0.9477453,1,0,clean
76,0,1,1.0,0,0.955519,1,0,clean
77,0,1,1.0,0,0.9636816,1,0,clean
78,0,1,1.0,0,0.933799,1,0,clean
79,0,1,1.0,0,0.9689128,1,0,clean
80,0,0,0.99999636,1,0.99999934,1,0,clean
81,1,1,1.0,0,0.92927027,1,0,clean
82,0,1,1.0,0,0.95466375,1,0,clean
83,0,1,0.99999994,0,0.96311617,1,0,clean
84,1,0,0.9999577,1,0.95382786,1,0,clean
85,0,1,1.0,0,0.93518895,1,0,clean
86,1,0,0.99999434,1,0.99999917,1,0,clean
87,0,1,1.0,0,0.97984433,1,0,clean
88,0,1,0.9999995,0,0.993487,1,0,clean
89,0,1,1.0,0,0.9545876,1,0,clean
90,0,1,1.0,0,0.91934806,1,0,clean
91,0,1,1.0,0,0.93708676,1,0,clean
92,0,1,0.9999999,0,0.83064675,1,0,clean
93,0,1,0.9999909,0,0.9564929,1,0,clean
94,1,0,0.9999918,1,0.9999942,1,0,clean
95,0,1,1.0,0,0.971285,1,0,clean
96,0,1,0.9999997,0,0.99316573,1,0,clean
97,0,1,1.0,0,0.9630664,1,0,clean
98,0,1,1.0,0,0.93176204,1,0,clean
99,0,1,1.0,0,0.94958824,1,0,clean
100,1,0,0.99993384,1,0.96437913,1,0,clean
101,0,1,1.0,0,0.97907794,1,0,clean
102,0,1,0.99633616,0,0.9515972,1,0,clean
103,0,1,1.0,0,0.9300299,1,0,clean
104,0,0,0.999983,1,0.9433057,1,0,clean
105,0,1,1.0,0,0.7447655,1,0,clean
106,0,1,1.0,0,0.9950028,1,0,clean
107,0,1,1.0,0,0.9232768,1,0,clean
108,1,0,0.99983,1,0.9699104,1,0,clean
109,0,1,1.0,0,0.9314323,1,0,clean
110,0,1,0.9422072,0,0.9439169,1,0,clean
111,0,1,1.0,0,0.9373341,1,0,clean
112,0,1,1.0,0,0.95612156,1,0,clean
113,0,1,0.99716765,0,0.9582792,1,0,clean
114,0,0,0.999989,1,0.97723323,1,0,clean
115,0,1,1.0,0,0.9285161,1,0,clean
116,0,0,0.9998227,1,0.870668,1,0,clean
117,0,1,1.0,0,0.96898246,1,0,clean
118,0,1,1.0,0,0.93346226,1,0,clean
119,1,0,0.99994546,1,0.9907027,1,0,clean
120,1,0,0.99999756,1,0.9860795,1,0,clean
121,0,1,1.0,0,0.9519658,1,0,clean
122,0,1,0.9205,0,0.98385596,1,0,clean
123,0,1,1.0,0,0.99712557,1,0,clean
124,0,1,0.9999916,0,0.9660663,1,0,clean
125,0,1,0.99474114,0,0.99763423,1,0,clean
126,0,1,1.0,0,0.9244463,1,0,clean
127,0,1,1.0,0,0.9346866,1,0,clean
128,0,1,0.9999995,0,0.9975268,1,0,clean
129,0,1,0.9999884,0,0.97193253,1,0,clean
130,0,1,0.9286279,0,0.984471,1,0,clean
131,0,1,1.0,0,0.94682664,1,0,clean
132,0,1,1.0,0,0.9932446,1,0,clean
133,0,1,1.0,0,0.93574363,1,0,clean
134,1,1,1.0,0,0.9388215,1,0,clean
135,1,0,0.99806356,1,0.99303234,1,0,clean
136,1,0,0.999879,1,0.9752972,1,0,clean
137,1,0,0.9999929,1,1.0,1,0,clean
138,0,1,1.0,0,0.93365896,1,0,clean
139,0,1,1.0,0,0.94725794,1,0,clean
140,0,1,1.0,0,0.95593977,1,0,clean
141,0,1,1.0,0,0.9485397,1,0,clean
142,0,1,0.9908411,0,0.94557184,1,0,clean
143,0,1,1.0,0,0.9485396,1,0,clean
144,0,1,1.0,0,0.9572202,1,0,clean
